herd,Adult_Female_Survival,Calf_Recruitment,lambda,Num_Animals_Collared,year
A_La_Peche,90.5,24.7,1.05,17,2002
A_La_Peche,90.6,22.2,1.01,20,2003
A_La_Peche,100,13,1.07,21,2004
A_La_Peche,95.2,7,0.99,21,2005
A_La_Peche,83.6,26,0.94,19,2006
A_La_Peche,93.3,12.1,0.99,18,2007
A_La_Peche,78.2,21,0.86,18,2008
Bistcho,NA,NA,NA,NA,2002
Bistcho,NA,NA,NA,NA,2003
Bistcho,NA,NA,NA,NA,2004
Bistcho,NA,NA,NA,NA,2005
Bistcho,NA,NA,NA,NA,2006
Bistcho,NA,NA,NA,NA,2007
Bistcho,NA,21,NA,5,2008
Caribou_Mountains,87.5,20.2,0.86,19,2002
Caribou_Mountains,69.6,23.6,0.78,NA,2003
Caribou_Mountains,87,13.4,0.93,NA,2004
Caribou_Mountains,74.8,20.3,0.82,24,2005
Caribou_Mountains,68.8,12.3,0.73,28,2006
Caribou_Mountains,92.8,8.5,0.97,28,2007
Caribou_Mountains,88,11.5,0.93,26,2008
Chinchaga,86.4,32.3,0.96,20,2002
Chinchaga,86.4,11.1,0.91,NA,2003
Chinchaga,86.4,21.6,0.96,NA,2004
Chinchaga,100,10.6,1.05,19,2005
Chinchaga,75,12.5,0.8,28,2006
Chinchaga,90.4,15.6,0.98,31,2007
Chinchaga,78.7,7.7,0.82,28,2008
Cold_Lake_Air_Weapons_Range,88.7,19.3,0.94,NA,2002
Cold_Lake_Air_Weapons_Range,NA,NA,NA,NA,2003
Cold_Lake_Air_Weapons_Range,87.3,19.4,0.96,NA,2004
Cold_Lake_Air_Weapons_Range,95.6,NA,0.96,44,2005
Cold_Lake_Air_Weapons_Range,80,14.2,0.86,41,2006
Cold_Lake_Air_Weapons_Range,85.3,22.8,0.96,49,2007
Cold_Lake_Air_Weapons_Range,75,13.7,0.8,21,2008
Cold_Lake_AWR,69.3,8.5,0.72,38,2008
East_Side_Athabasca_River,81,18.2,0.85,NA,2002
East_Side_Athabasca_River,92.6,16.9,1,NA,2003
East_Side_Athabasca_River,75,15.7,0.94,NA,2004
East_Side_Athabasca_River,75,11.8,0.79,20,2005
East_Side_Athabasca_River,91.7,9.1,0.96,24,2006
East_Side_Athabasca_River,79.8,18,0.88,25,2007
Little_Smoky,86.8,16.6,0.89,12,2002
Little_Smoky,76.4,6.1,0.79,17,2003
Little_Smoky,85,13,0.91,20,2004
Little_Smoky,94.1,19,1.03,20,2005
Little_Smoky,73.1,11,0.77,16,2006
Little_Smoky,86.9,20,0.97,24,2007
Little_Smoky,90,16,0.97,20,2008
Narraway,NA,NA,NA,NA,2002
Narraway,NA,NA,NA,NA,2003
Narraway,NA,NA,NA,NA,2004
Narraway,NA,NA,NA,NA,2005
Narraway,NA,NA,NA,NA,2006
Narraway,NA,NA,NA,20,2007
Narraway,88.5,2.7,0.9,20,2008
North_Banff,NA,NA,NA,2,2002
North_Banff,NA,NA,NA,2,2003
North_Banff,NA,NA,NA,2,2004
North_Banff,NA,NA,NA,2,2005
North_Banff,NA,NA,NA,2,2006
North_Banff,NA,NA,NA,2,2007
North_Banff,NA,NA,NA,2,2008
Red_Earth,100,7.7,0.82,NA,2002
Red_Earth,87.8,18.8,0.96,NA,2003
Red_Earth,81.8,11.6,0.87,NA,2004
Red_Earth,81.6,7.7,0.85,22,2005
Red_Earth,76.5,16.4,0.83,22,2006
Red_Earth,83.4,25.6,0.96,29,2007
Red_Earth,81,6.5,0.84,29,2008
Redrock_Prairie_Creek,97.3,24.1,0.76,32,2002
Redrock_Prairie_Creek,81.1,22.8,0.9,29,2003
Redrock_Prairie_Creek,93.3,17.3,1.01,32,2004
Redrock_Prairie_Creek,61.4,26.3,0.69,24,2005
Redrock_Prairie_Creek,95.7,23.9,1.07,23,2006
Redrock_Prairie_Creek,78.8,6.2,0.81,29,2007
Redrock_Prairie_Creek,86.5,14.4,0.93,20,2008
Richardson,NA,NA,NA,NA,2002
Richardson,NA,NA,NA,NA,2003
Richardson,NA,NA,NA,NA,2004
Richardson,NA,NA,NA,NA,2005
Richardson,NA,NA,NA,NA,2006
Richardson,NA,NA,NA,NA,2007
Richardson,NA,NA,NA,NA,2008
Slave_Lake,NA,52.2,1.08,NA,2002
Slave_Lake,NA,19,NA,NA,2003
Slave_Lake,NA,42.9,1.08,NA,2004
Slave_Lake,100,4,1.02,11,2005
Slave_Lake,81.8,30.1,0.94,20,2006
Slave_Lake,100,28,1.16,20,2007
Slave_Lake,89.5,2.6,0.91,17,2008
South_Jasper,100,30.9,1.18,4,2002
South_Jasper,1,NA,NA,13,2003
South_Jasper,100,31.8,1.19,14,2004
South_Jasper,73,23.1,0.82,16,2005
South_Jasper,85,13.3,0.91,21,2006
South_Jasper,90,42.2,1.14,25,2007
South_Jasper,82,23.3,0.93,24,2008
Steen_River_Yates,NA,NA,NA,NA,2002
Steen_River_Yates,NA,NA,NA,NA,2003
Steen_River_Yates,NA,NA,NA,NA,2004
Steen_River_Yates,NA,NA,NA,NA,2005
Steen_River_Yates,NA,NA,NA,NA,2006
Steen_River_Yates,NA,NA,NA,NA,2007
Steen_River_Yates,95,17.6,1.04,20,2008
West_Side_Athabasca_River,94,15.1,1.01,NA,2002
West_Side_Athabasca_River,75.7,18.4,0.83,NA,2003
West_Side_Athabasca_River,89.1,15.5,0.96,NA,2004
West_Side_Athabasca_River,86.9,22.4,0.97,23,2005
West_Side_Athabasca_River,85,27.3,0.97,28,2006
West_Side_Athabasca_River,85.7,25.4,0.98,30,2007
West_Side_Athabasca_River,83.1,17.6,0.9,28,2008
